epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4141,1.53519,3.18592,1.92691,0.51378,0.07112,0.2854,0.12452,2.0937,3.20462,2.75168,0.000410539,0.000410539,0.000410539
2,42.0131,1.60167,2.52214,1.93073,0.55009,0.14779,0.16988,0.05073,2.79727,3.89701,3.37641,0.000810827,0.000810827,0.000810827
3,62.6995,1.56383,2.37949,1.9222,0.49841,0.27177,0.2017,0.08417,2.06831,3.48754,2.89365,0.00119462,0.00119462,0.00119462
4,83.568,1.5999,2.27711,1.93069,0.29005,0.50341,0.33436,0.14148,2.05012,2.95419,2.63171,0.00117575,0.00117575,0.00117575
5,102.876,1.59426,2.16835,1.90826,0.4404,0.47601,0.39214,0.18733,1.90085,3.55854,2.57135,0.001151,0.001151,0.001151
6,123.524,1.56242,2.04755,1.88113,0.24922,0.34894,0.2393,0.1155,2.13978,2.7587,2.9626,0.00112625,0.00112625,0.00112625
7,142.794,1.53312,1.95323,1.86532,0.36153,0.43845,0.34719,0.13471,2.08224,2.50909,2.62503,0.0011015,0.0011015,0.0011015
8,163.15,1.50645,1.89357,1.84762,0.46113,0.41039,0.39667,0.16694,1.90367,2.39233,2.51823,0.00107675,0.00107675,0.00107675
9,182.504,1.47722,1.80067,1.8116,0.68572,0.60599,0.65335,0.29088,1.93027,1.70741,2.49833,0.001052,0.001052,0.001052
10,202.901,1.42822,1.73862,1.79842,0.55664,0.58451,0.552,0.26657,1.84846,1.93121,2.4482,0.00102725,0.00102725,0.00102725
11,222.13,1.44577,1.73509,1.80153,0.60671,0.62025,0.63699,0.31045,1.83179,1.69898,2.38056,0.0010025,0.0010025,0.0010025
12,242.249,1.45764,1.73831,1.81424,0.53528,0.51659,0.52913,0.25635,1.94967,1.91462,2.47671,0.00097775,0.00097775,0.00097775
13,261.451,1.44288,1.6853,1.80611,0.57589,0.60672,0.62628,0.2845,1.92902,1.68975,2.4471,0.000953,0.000953,0.000953
14,281.45,1.42696,1.6127,1.76254,0.6671,0.57986,0.64216,0.29839,1.84796,1.63537,2.34628,0.00092825,0.00092825,0.00092825
15,300.796,1.43962,1.61428,1.7784,0.55374,0.55413,0.54514,0.25379,1.86298,1.86707,2.47648,0.0009035,0.0009035,0.0009035
16,320.649,1.42754,1.62956,1.76466,0.53163,0.55359,0.53938,0.24547,1.87434,1.93467,2.4323,0.00087875,0.00087875,0.00087875
17,339.501,1.41485,1.50569,1.76656,0.7159,0.62539,0.68958,0.3286,1.79298,1.59071,2.35186,0.000854,0.000854,0.000854
18,359.8,1.37539,1.56128,1.74328,0.61972,0.61147,0.62359,0.30695,1.71326,1.6377,2.28523,0.00082925,0.00082925,0.00082925
19,379.139,1.37682,1.45386,1.72059,0.78039,0.67559,0.73561,0.36714,1.75107,1.43809,2.31988,0.0008045,0.0008045,0.0008045
